,Accuracy,F1 Score,FN,FP,Model,Precision,Recall or Sensitivity,Specificity,TN,TP,Monte_Carlo_iteration
0,0.9099236641221374,0.9028006589785833,49.0,10.0,BERT,0.9647887323943662,0.848297213622291,0.9698795180722891,322.0,274.0,Iteration_1
0,0.9038167938931297,0.8944723618090453,51.0,12.0,BERT,0.956989247311828,0.839622641509434,0.9643916913946587,325.0,267.0,Iteration_2
0,0.899236641221374,0.8881355932203391,57.0,9.0,BERT,0.966789667896679,0.8213166144200627,0.9732142857142857,327.0,262.0,Iteration_3
0,0.9038167938931297,0.8908145580589255,56.0,7.0,BERT,0.9734848484848485,0.8210862619808307,0.97953216374269,335.0,257.0,Iteration_4
0,0.9129770992366413,0.9057851239669421,47.0,10.0,BERT,0.9647887323943662,0.8535825545171339,0.9700598802395209,324.0,274.0,Iteration_5
0,0.9022900763358779,0.8943894389438943,56.0,8.0,BERT,0.9713261648745519,0.8287461773700305,0.975609756097561,320.0,271.0,Iteration_6
0,0.9236641221374046,0.9143835616438357,43.0,7.0,BERT,0.9744525547445255,0.8612903225806452,0.9797101449275363,338.0,267.0,Iteration_7
0,0.9145038167938931,0.9057239057239058,48.0,8.0,BERT,0.9711191335740073,0.8485804416403786,0.9763313609467456,330.0,269.0,Iteration_8
0,0.9114503816793893,0.9061488673139159,50.0,8.0,BERT,0.9722222222222222,0.8484848484848485,0.9753846153846154,317.0,280.0,Iteration_9
0,0.916030534351145,0.9078726968174203,44.0,11.0,BERT,0.9609929078014184,0.8603174603174604,0.9676470588235294,329.0,271.0,Iteration_10
