,Accuracy,F1 Score,FN,FP,Model,Precision,Recall or Sensitivity,Specificity,TN,TP,Monte_Carlo_iteration
0,0.9557251908396946,0.9558599695585998,0.0,29.0,XLN,0.9154518950437318,1.0,0.9149560117302052,312.0,314.0,Iteration_1
0,0.9557251908396946,0.9558599695585998,0.0,29.0,XLN,0.9154518950437318,1.0,0.9149560117302052,312.0,314.0,Iteration_2
0,0.9557251908396946,0.9558599695585998,0.0,29.0,XLN,0.9154518950437318,1.0,0.9149560117302052,312.0,314.0,Iteration_3
0,0.9557251908396946,0.9558599695585998,0.0,29.0,XLN,0.9154518950437318,1.0,0.9149560117302052,312.0,314.0,Iteration_4
0,0.9557251908396946,0.9558599695585998,0.0,29.0,XLN,0.9154518950437318,1.0,0.9149560117302052,312.0,314.0,Iteration_5
0,0.9557251908396946,0.9558599695585998,0.0,29.0,XLN,0.9154518950437318,1.0,0.9149560117302052,312.0,314.0,Iteration_6
0,0.9557251908396946,0.9558599695585998,0.0,29.0,XLN,0.9154518950437318,1.0,0.9149560117302052,312.0,314.0,Iteration_7
0,0.9557251908396946,0.9558599695585998,0.0,29.0,XLN,0.9154518950437318,1.0,0.9149560117302052,312.0,314.0,Iteration_8
0,0.9557251908396946,0.9558599695585998,0.0,29.0,XLN,0.9154518950437318,1.0,0.9149560117302052,312.0,314.0,Iteration_9
0,0.9557251908396946,0.9558599695585998,0.0,29.0,XLN,0.9154518950437318,1.0,0.9149560117302052,312.0,314.0,Iteration_10
