,Model,TN,FP,FN,TP,Accuracy,Precision,Recall or Sensitivity,F1 Score,Specificity,Monte_Carlo_iteration
0,CNN,117.0,13.0,9.0,123.0,0.916030534351145,0.9044117647058824,0.9318181818181818,0.9179104477611939,0.9,Iteration_1
1,LSTM,111.0,19.0,25.0,107.0,0.8320610687022901,0.8492063492063492,0.8106060606060606,0.8294573643410852,0.8538461538461538,Iteration_1
2,bi-LSTM,110.0,20.0,15.0,117.0,0.8664122137404581,0.8540145985401459,0.8863636363636364,0.8698884758364311,0.8461538461538461,Iteration_1
0,CNN,108.0,15.0,10.0,129.0,0.9045801526717557,0.8958333333333334,0.9280575539568345,0.9116607773851589,0.8780487804878049,Iteration_2
1,LSTM,104.0,19.0,31.0,108.0,0.8091603053435115,0.8503937007874016,0.7769784172661871,0.81203007518797,0.8455284552845529,Iteration_2
2,bi-LSTM,103.0,20.0,19.0,120.0,0.851145038167939,0.8571428571428571,0.8633093525179856,0.8602150537634408,0.8373983739837398,Iteration_2
0,CNN,118.0,12.0,11.0,121.0,0.9122137404580153,0.9097744360902256,0.9166666666666666,0.9132075471698113,0.9076923076923077,Iteration_3
1,LSTM,111.0,19.0,30.0,102.0,0.8129770992366412,0.8429752066115702,0.7727272727272727,0.8063241106719367,0.8538461538461538,Iteration_3
2,bi-LSTM,111.0,19.0,20.0,112.0,0.851145038167939,0.8549618320610687,0.8484848484848485,0.8517110266159695,0.8538461538461538,Iteration_3
0,CNN,116.0,16.0,9.0,121.0,0.9045801526717557,0.8832116788321168,0.9307692307692308,0.9063670411985019,0.8787878787878788,Iteration_4
1,LSTM,110.0,22.0,29.0,101.0,0.8053435114503816,0.8211382113821138,0.7769230769230769,0.7984189723320158,0.8333333333333334,Iteration_4
2,bi-LSTM,108.0,24.0,19.0,111.0,0.8358778625954199,0.8222222222222222,0.8538461538461538,0.8377358490566038,0.8181818181818182,Iteration_4
0,CNN,122.0,16.0,8.0,116.0,0.9083969465648855,0.8787878787878788,0.9354838709677419,0.90625,0.8840579710144928,Iteration_5
1,LSTM,114.0,24.0,21.0,103.0,0.8282442748091603,0.8110236220472441,0.8306451612903226,0.8207171314741036,0.8260869565217391,Iteration_5
2,bi-LSTM,113.0,25.0,16.0,108.0,0.8435114503816794,0.8120300751879699,0.8709677419354839,0.8404669260700389,0.8188405797101449,Iteration_5
0,CNN,117.0,16.0,9.0,120.0,0.9045801526717557,0.8823529411764706,0.9302325581395349,0.9056603773584906,0.8796992481203008,Iteration_6
1,LSTM,110.0,23.0,28.0,101.0,0.8053435114503816,0.8145161290322581,0.7829457364341085,0.7984189723320158,0.8270676691729323,Iteration_6
2,bi-LSTM,108.0,25.0,18.0,111.0,0.8358778625954199,0.8161764705882353,0.8604651162790697,0.8377358490566038,0.8120300751879699,Iteration_6
0,CNN,119.0,15.0,7.0,121.0,0.916030534351145,0.8897058823529411,0.9453125,0.9166666666666666,0.8880597014925373,Iteration_7
1,LSTM,114.0,20.0,22.0,106.0,0.8396946564885496,0.8412698412698413,0.828125,0.8346456692913385,0.8507462686567164,Iteration_7
2,bi-LSTM,115.0,19.0,14.0,114.0,0.8740458015267175,0.8571428571428571,0.890625,0.8735632183908045,0.8582089552238806,Iteration_7
