,Accuracy,F1 Score,FN,FP,Model,Precision,Recall or Sensitivity,Specificity,TN,TP,Monte_Carlo_iteration
0,0.7603053435114504,0.7595712098009189,75.0,82.0,LogisticRegression,0.7515151515151515,0.7678018575851393,0.7530120481927711,250.0,248.0,Iteration_1
1,0.7648854961832061,0.7424749163879599,101.0,53.0,KNeighborsClassifier,0.8072727272727273,0.6873065015479877,0.8403614457831325,279.0,222.0,Iteration_1
2,0.8916030534351145,0.8874801901743264,43.0,28.0,DecisionTreeClassifier,0.9090909090909091,0.8668730650154799,0.9156626506024096,304.0,280.0,Iteration_1
3,0.7251908396946565,0.7058823529411764,107.0,73.0,MultinomialNB,0.7474048442906575,0.6687306501547987,0.7801204819277109,259.0,216.0,Iteration_1
4,0.6748091603053435,0.5988700564971751,164.0,49.0,SVC,0.7644230769230769,0.49226006191950467,0.8524096385542169,283.0,159.0,Iteration_1
5,0.9068702290076336,0.9054263565891473,31.0,30.0,RandomForestClassifier,0.906832298136646,0.9040247678018576,0.9096385542168675,302.0,292.0,Iteration_1
6,0.7038167938931298,0.7413333333333332,45.0,149.0,AdaBoostClassifier,0.6510538641686182,0.8606811145510835,0.5512048192771084,183.0,278.0,Iteration_1
0,0.7145038167938931,0.7055118110236221,94.0,93.0,LogisticRegression,0.7066246056782335,0.7044025157232704,0.7240356083086054,244.0,224.0,Iteration_2
1,0.7358778625954199,0.7062818336162988,110.0,63.0,KNeighborsClassifier,0.7675276752767528,0.6540880503144654,0.8130563798219584,274.0,208.0,Iteration_2
2,0.8961832061068702,0.8924050632911392,36.0,32.0,DecisionTreeClassifier,0.8980891719745223,0.8867924528301887,0.9050445103857567,305.0,282.0,Iteration_2
3,0.6824427480916031,0.6544850498338871,121.0,87.0,MultinomialNB,0.6936619718309859,0.6194968553459119,0.7418397626112759,250.0,197.0,Iteration_2
4,0.6580152671755726,0.5851851851851851,160.0,64.0,SVC,0.7117117117117117,0.4968553459119497,0.8100890207715133,273.0,158.0,Iteration_2
5,0.8931297709923665,0.8892405063291139,37.0,33.0,RandomForestClassifier,0.8949044585987261,0.8836477987421384,0.9020771513353115,304.0,281.0,Iteration_2
6,0.648854961832061,0.6949602122015914,56.0,174.0,AdaBoostClassifier,0.6009174311926605,0.8238993710691824,0.4836795252225519,163.0,262.0,Iteration_2
0,0.7175572519083969,0.7113884555382216,91.0,94.0,LogisticRegression,0.7080745341614907,0.7147335423197492,0.7202380952380952,242.0,228.0,Iteration_3
1,0.7221374045801526,0.6966666666666665,110.0,72.0,KNeighborsClassifier,0.7437722419928826,0.6551724137931034,0.7857142857142857,264.0,209.0,Iteration_3
2,0.8824427480916031,0.8783570300157978,41.0,36.0,DecisionTreeClassifier,0.8853503184713376,0.8714733542319749,0.8928571428571429,300.0,278.0,Iteration_3
3,0.6854961832061068,0.6520270270270271,126.0,80.0,MultinomialNB,0.706959706959707,0.6050156739811913,0.7619047619047619,256.0,193.0,Iteration_3
4,0.6519083969465649,0.5564202334630352,176.0,52.0,SVC,0.7333333333333333,0.4482758620689655,0.8452380952380952,284.0,143.0,Iteration_3
5,0.8778625954198473,0.8761609907120742,36.0,44.0,RandomForestClassifier,0.8654434250764526,0.8871473354231975,0.8690476190476191,292.0,283.0,Iteration_3
6,0.6778625954198473,0.727741935483871,37.0,174.0,AdaBoostClassifier,0.618421052631579,0.8840125391849529,0.48214285714285715,162.0,282.0,Iteration_3
0,0.7022900763358778,0.6967340590979783,89.0,106.0,LogisticRegression,0.6787878787878788,0.7156549520766773,0.6900584795321637,236.0,224.0,Iteration_4
1,0.751145038167939,0.7194492254733219,104.0,59.0,KNeighborsClassifier,0.7798507462686567,0.6677316293929713,0.827485380116959,283.0,209.0,Iteration_4
2,0.9007633587786259,0.8976377952755906,28.0,37.0,DecisionTreeClassifier,0.8850931677018633,0.9105431309904153,0.8918128654970761,305.0,285.0,Iteration_4
3,0.6931297709923664,0.6598984771573605,118.0,83.0,MultinomialNB,0.7014388489208633,0.6230031948881789,0.7573099415204678,259.0,195.0,Iteration_4
4,0.6381679389312978,0.5288270377733598,180.0,57.0,SVC,0.7,0.4249201277955272,0.8333333333333334,285.0,133.0,Iteration_4
5,0.8961832061068702,0.8944099378881988,25.0,43.0,RandomForestClassifier,0.8700906344410876,0.9201277955271565,0.8742690058479532,299.0,288.0,Iteration_4
6,0.6610687022900763,0.7063492063492064,46.0,176.0,AdaBoostClassifier,0.6027088036117382,0.853035143769968,0.4853801169590643,166.0,267.0,Iteration_4
0,0.7236641221374046,0.7211093990755008,87.0,94.0,LogisticRegression,0.7134146341463414,0.7289719626168224,0.718562874251497,240.0,234.0,Iteration_5
1,0.7358778625954199,0.71499176276771,104.0,69.0,KNeighborsClassifier,0.7587412587412588,0.67601246105919,0.7934131736526946,265.0,217.0,Iteration_5
2,0.8870229007633588,0.8868501529051988,31.0,43.0,DecisionTreeClassifier,0.8708708708708709,0.9034267912772586,0.8712574850299402,291.0,290.0,Iteration_5
3,0.6885496183206107,0.6720257234726689,112.0,92.0,MultinomialNB,0.6943521594684385,0.6510903426791277,0.7245508982035929,242.0,209.0,Iteration_5
4,0.667175572519084,0.5902255639097744,164.0,54.0,SVC,0.7440758293838863,0.48909657320872274,0.8383233532934131,280.0,157.0,Iteration_5
5,0.8931297709923665,0.8932926829268293,28.0,42.0,RandomForestClassifier,0.8746268656716418,0.9127725856697819,0.874251497005988,292.0,293.0,Iteration_5
6,0.6610687022900763,0.7168367346938775,40.0,182.0,AdaBoostClassifier,0.6069114470842333,0.8753894080996885,0.4550898203592814,152.0,281.0,Iteration_5
0,0.7114503816793893,0.7132018209408194,92.0,97.0,LogisticRegression,0.7078313253012049,0.7186544342507645,0.7042682926829268,231.0,235.0,Iteration_6
1,0.7022900763358778,0.6849757673667205,115.0,80.0,KNeighborsClassifier,0.726027397260274,0.6483180428134556,0.7560975609756098,248.0,212.0,Iteration_6
2,0.8916030534351145,0.8916030534351146,35.0,36.0,DecisionTreeClassifier,0.8902439024390244,0.8929663608562691,0.8902439024390244,292.0,292.0,Iteration_6
3,0.7068702290076336,0.6831683168316832,120.0,72.0,MultinomialNB,0.7419354838709677,0.6330275229357798,0.7804878048780488,256.0,207.0,Iteration_6
4,0.648854961832061,0.5676691729323308,176.0,54.0,SVC,0.7365853658536585,0.4617737003058104,0.8353658536585366,274.0,151.0,Iteration_6
5,0.8824427480916031,0.8835098335854765,35.0,42.0,RandomForestClassifier,0.874251497005988,0.8929663608562691,0.8719512195121951,286.0,292.0,Iteration_6
6,0.6549618320610687,0.7080103359173128,53.0,173.0,AdaBoostClassifier,0.6129753914988815,0.8379204892966361,0.4725609756097561,155.0,274.0,Iteration_6
0,0.7083969465648855,0.6953748006379585,92.0,99.0,LogisticRegression,0.6876971608832808,0.7032258064516129,0.7130434782608696,246.0,218.0,Iteration_7
1,0.7435114503816794,0.7123287671232876,102.0,66.0,KNeighborsClassifier,0.7591240875912408,0.6709677419354839,0.808695652173913,279.0,208.0,Iteration_7
2,0.8870229007633588,0.8817891373801917,34.0,40.0,DecisionTreeClassifier,0.8734177215189873,0.8903225806451613,0.8840579710144928,305.0,276.0,Iteration_7
3,0.7099236641221374,0.6735395189003436,114.0,76.0,MultinomialNB,0.7205882352941176,0.632258064516129,0.7797101449275362,269.0,196.0,Iteration_7
4,0.6610687022900763,0.5559999999999999,171.0,51.0,SVC,0.7315789473684211,0.4483870967741935,0.8521739130434782,294.0,139.0,Iteration_7
5,0.8824427480916031,0.8779714738510301,33.0,44.0,RandomForestClassifier,0.8629283489096573,0.8935483870967742,0.8724637681159421,301.0,277.0,Iteration_7
6,0.6610687022900763,0.7024128686327077,48.0,174.0,AdaBoostClassifier,0.6009174311926605,0.8451612903225807,0.4956521739130435,171.0,262.0,Iteration_7
0,0.7603053435114504,0.7573415765069551,72.0,85.0,LogisticRegression,0.7424242424242424,0.7728706624605678,0.7485207100591716,253.0,245.0,Iteration_8
1,0.751145038167939,0.7278797996661102,99.0,64.0,KNeighborsClassifier,0.7730496453900709,0.6876971608832808,0.8106508875739645,274.0,218.0,Iteration_8
